Product,Brand,Category,Style,Quantity,Quantity Units,Units (4 Decimal Places)
13 Guns,Crafty Dan,Beer,IPA,330,ml,1.8150
13 Guns,Crafty Dan,Beer,IPA,330,ml,1.8150
13 Guns,Crafty Dan,Beer,IPA,1,pint,3.1240
Abbot Ale,Greene King,Beer,Ale,500,ml,2.5000
Abbot Ale,Greene King,Beer,Beer,1,pint,2.8400
Addlestones Cloudy,Addlestones,Cider,,500,ml,2.5000
Addlestones Cloudy,Stone,Cider,,1,pint,2.9536
Adnams Broadside,Adnams,Beer,,1,pint,2.6696
Adnams Crystal Rye IPA,Adnams,Beer,Rye Beer,330,ml,1.6500
Adnams Dry Hopped Lager,Adnams,Beer,Lager,330,ml,1.3860
Adnams FreeWheel,Adnams,Beer,Summer Ale,1,pint,2.0448
Adnams Ghost Ship,Adnams,Beer,Pale Ale,1,pint,2.5560
Adnams Mosaic Pale Ale,Adnams,Beer,Pale Ale,330,ml,1.3530
Adnams Mosaic Pale Ale,Adnams,Beer,Pale Ale,330,ml,1.3530
Adnams Mosaic Pale Ale,Adnams,Beer,Pale Ale,1,pint,2.3288
Adnams Sloe Storm,Adnams,Beer,Amber Ale,1,pint,2.2720
Adnams Southwold Bitter,Adnams,Beer,Amber Ale,1,pint,2.1016
Ale Fresco,Greene King,Beer,Ale,1,pint,2.4424
Alhambra Especial,Alhambra,Beer,Lager,1,pint,2.7264
Alhambra Reserva,Alhambra,Beer,Lager,330,ml,2.1120
Amarillo Single Hop Session IPA,Greene King,Beer,IPA,1,pint,2.1584
Amigos,Amigos,Beer,Lager,330,ml,1.6830
Amstel,Amstel,Beer,Lager,330,ml,1.3530
Amstel Lager,Amstel,Beer,Lager,1,pint,2.3288
Anchor California Lager,Anchor,Beer,Lager,355,ml,1.7395
Anchor Liberty Ale,Anchor,Beer,IPA,355,ml,2.0945
Anchor Porter,Anchor,Beer,Porter,335,ml,1.8760
Anchor Steam Beer,Anchor,Beer,Steam Beer,355,ml,1.7040
Anchor Steam Beer,Anchor,Beer,Steam Beer,1,pint,2.7264
Angry Orchard Cider,Angry Orchard,Cider,,500,ml,2.5000
Angry Orchard Hard Cider,Angry Orchard,Cider,,1,pint,2.8400
Ansells Drum Mild,Ansells,Beer,Bitter,1,pint,1.8176
Asahi Super Dry,Asahi,Beer,Lager,330,ml,1.7160
Asahi Super Dry,Asahi,Beer,Lager,1,pint,2.9536
Ashton Press Cider,Ashton Press,Cider,,500,ml,2.4000
Aspall Cyder,Aspall,Cider,,1,pint,2.5560
Aspall Cyderkyn,Aspall,Cider,,1,pint,2.1584
Aspall Draught Cyder,Aspall,Cider,,330,ml,1.8150
Aspall Draught Cyder,Aspall,Cider,,1,pint,3.1240
Aspall Harry Sparrow,Aspall,Cider,,500,ml,2.3000
Aspall Harry Sparrow,Aspall,Cider,,1,pint,2.6128
Aspall Isabel's Berry,Aspall,Cider,Fruit Cider,500,ml,1.9000
Aspall Mulled Cyder,Aspall,Cider,Mulled Cider,1,pint,2.1584
Aspall Peronelle's Blush,Aspall,Cider,Fruit Cider,500,ml,2.0000
Aspall Premier Cru Cyder,Aspall,Cider,,500,ml,3.5000
Babycham Popping Cork,Babycham,Cider,Perry,75,cl,4.1250
Back of the Net,Greene King,Beer,Blonde Ale,1,pint,2.3288
Bad Apple Cider,Bad Apple,Cider,,1,pint,2.8968
Bah Humbug,Wychwood,Beer,Ale,1,pint,2.4424
Bass,Bass,Beer,,500,ml,2.2000
Bass,Bass,Beer,Ale,1,pint,2.4992
Bass Smooth,Bass,Beer,,1,pint,2.0448
Bath Ales Gem,Bath Ales,Beer,Bitter,1,pint,2.3288
Beck's Bier,Beck's,Beer,Lager,275,ml,1.3200
Beck's Bier,Beck's,Beer,Lager,1,pint,2.7832
Beck's Blue,Beck's,Beer,Lager,275,ml,0.0000
Beck's Vier,Beck's,Beer,Lager,1,pint,2.2720
Bedlam Pale Ale,Bedlam,Beer,Pale Ale,1,pint,2.7264
Beerd Monterey,Beerd,Beer,Pale Ale,1,pint,1.7608
Belhaven Best,Belhaven,Beer,Bitter,1,pint,1.8176
Belhaven Export 80/- ,Belhaven,Beer,Ale,500,ml,1.9500
Belhaven Light,Belhaven,Beer,Ale,1,pint,1.5336
Bellerose Blonde,Bellerose,Beer,Lager,330,ml,2.1450
Bellerose Blonde Extra,Bellerose,Beer,Lager,330,ml,2.1450
Belleville Balham Black Lager,Belleville,Beer,Lager,330,ml,1.5180
Bellfield Bohemian Pilsner Gluten Free,Bellfield,Beer,Lager,330,ml,1.4850
Bellfield Bohmenian Pilsner,Bellfield,Beer,Lager,1,pint,2.5560
Bellfield Lawless Village IPA,Bellfield,Beer,IPA,1,pint,2.5560
Bellfield Lawless Village IPA Gluten Free,Bellfield,Beer,IPA,330,ml,1.4850
Berliner Heist,The London Beer Factory,Beer,Sour Beer,330,ml,1.1550
Berliner Pilsner,Berliner,Beer,Lager,330,ml,1.6500
Berliner Pilsner,Berliner,Beer,Lager,1,pint,2.8400
Betty Stogs,Skinners,Beer,Bitter,1,pint,2.2720
Beyond The Pale,The London Beer Factory,Beer,Pale Ale,330,ml,1.3860
Beyond the Pale,The London Beer Factory,Beer,Pale Ale,1,pint,2.3856
Big Hug Juicy Pale,Big Hug Brewing,Beer,Pale Ale,330,ml,1.3200
Big Hug Juicy Pale,Big Hug Brewing,Beer,Pale Ale,1,pint,2.2720
Big Hug Pilsner,Big Hug Brewing,Beer,Lager,330,ml,1.3860
Big Hug Pilsner,Big Hug Brewing,Beer,Lager,1,pint,2.3856
Big Hug Spirit Pale Ale,Big Hug Brewing,Beer,Pale Ale,330,ml,1.3860
Big Hug Spirit Pale Ale,Big Hug Brewing,Beer,Lager,330,ml,1.3860
Big Hug White IPA,Big Hug Brewing,Beer,IPA,330,ml,1.7160
Big Hug White IPA,Big Hug Brewing,Beer,IPA,330,ml,1.7160
Big Hug White IPA,Big Hug Brewing,Beer,IPA,1,pint,2.9536
Birra del Borgo Cortigianna,Birra del Borgo,Beer,Pale Ale,33,cl,1.6500
Birra Del Borgo Lisa,Birra del Borgo,Beer,Lager,1,pint,2.8400
Birra Moretti,Birra Moretti,Beer,Lager,330,ml,1.5180
Birra Moretti,Birra Moretti,Beer,Lager,330,ml,1.5180
Birra Moretti,Birra Moretti,Beer,Lager,1,pint,2.6128
Birra Poretti,Poretti,Beer,Lager,1,pint,2.7264
Birra Poretti 3,Poretti,Beer,Lager,1,pint,2.7264
Bishops Farewell,Oakham Ales,Beer,Ale,500,ml,2.3000
Bishops Finger,Shepherd Neame,Beer,Ale,500,ml,2.7000
